Provincia,Fecha,Descripción,Ámbito
ALAVA,06/01/2023,Día de Reyes,national
ALAVA,06/04/2023,Jueves Santo,regional
ALAVA,07/04/2023,Viernes Santo,national
ALAVA,10/04/2023,Lunes de Pascua,regional
ALAVA,28/04/2023,San Prudencio,local
ALAVA,01/05/2023,Día Del Trabajo,national
ALAVA,25/07/2023,Santiago Apostol,regional
ALAVA,05/08/2023,La Blanca,local
ALAVA,15/08/2023,Asunción de la Virgen,national
ALAVA,12/10/2023,Fiesta Nacional Española,national
ALAVA,01/11/2023,Día de Todos los Santos,national
ALAVA,06/12/2023,Día de la Constitución Española,national
ALAVA,08/12/2023,Inmaculada Concepción,national
ALAVA,25/12/2023,Navidad,national
ALBACETE,06/01/2023,Día de Reyes,national
ALBACETE,06/04/2023,Jueves Santo,regional
ALBACETE,07/04/2023,Viernes Santo,national
ALBACETE,01/05/2023,Día Del Trabajo,national
ALBACETE,31/05/2023,Día de la Región de Castilla la Mancha,regional
ALBACETE,08/06/2023,Corpus Christi,regional
ALBACETE,24/06/2023,San Juan,local
ALBACETE,15/08/2023,Asunción de la Virgen,national
ALBACETE,08/09/2023,Virgen de los Llanos,local
ALBACETE,12/10/2023,Fiesta Nacional Española,national
ALBACETE,01/11/2023,Día de Todos los Santos,national
ALBACETE,06/12/2023,Día de la Constitución Española,national
ALBACETE,08/12/2023,Inmaculada Concepción,national
ALBACETE,25/12/2023,Navidad,national
ALICANTE,06/01/2023,Día de Reyes,national
ALICANTE,07/04/2023,Viernes Santo,national
ALICANTE,10/04/2023,Lunes de Pascua,regional
ALICANTE,20/04/2023,Santa Faz,local
ALICANTE,01/05/2023,Día Del Trabajo,national
ALICANTE,23/06/2023,Víspera de San Juan,local
ALICANTE,24/06/2023,San juan,regional
ALICANTE,15/08/2023,Asunción de la Virgen,national
ALICANTE,09/10/2023,Día de la Comunidad Valenciana,regional
ALICANTE,12/10/2023,Fiesta Nacional Española,national
ALICANTE,01/11/2023,Día de Todos los Santos,national
ALICANTE,06/12/2023,Día de la Constitución Española,national
ALICANTE,08/12/2023,Inmaculada Concepción,national
ALICANTE,25/12/2023,Navidad,national
ALMERIA,01/01/2023,Año Nuevo(se traslada al lunes),regional
ALMERIA,06/01/2023,Día de Reyes,national
ALMERIA,28/02/2023,Día de Andalucía,regional
ALMERIA,06/04/2023,Jueves Santo,regional
ALMERIA,07/04/2023,Viernes Santo,national
ALMERIA,01/05/2023,Día Del Trabajo,national
ALMERIA,15/08/2023,Asunción de la Virgen,national
ALMERIA,26/08/2023,Virgen del Mar,local
ALMERIA,12/10/2023,Fiesta Nacional Española,national
ALMERIA,01/11/2023,Día de Todos los Santos,national
ALMERIA,06/12/2023,Día de la Constitución Española,national
ALMERIA,08/12/2023,Inmaculada Concepción,national
ALMERIA,25/12/2023,Navidad,national
ALMERIA,26/12/2023,San Esteban,local
ASTURIAS,01/01/2023,Año Nuevo(se traslada al lunes),regional
ASTURIAS,06/01/2023,Día de Reyes,national
ASTURIAS,06/04/2023,Jueves Santo,regional
ASTURIAS,07/04/2023,Viernes Santo,national
ASTURIAS,01/05/2023,Día Del Trabajo,national
ASTURIAS,15/08/2023,Asunción de la Virgen,national
ASTURIAS,08/09/2023,Día de Asturias,regional
ASTURIAS,21/09/2023,San Mateo,local
ASTURIAS,12/10/2023,Fiesta Nacional Española,national
ASTURIAS,01/11/2023,Día de Todos los Santos,national
ASTURIAS,06/12/2023,Día de la Constitución Española,national
ASTURIAS,08/12/2023,Inmaculada Concepción,national
ASTURIAS,25/12/2023,Navidad,national
AVILA,01/01/2023,Año Nuevo(se traslada al lunes),regional
AVILA,06/01/2023,Día de Reyes,national
AVILA,06/04/2023,Jueves Santo,regional
AVILA,07/04/2023,Viernes Santo,national
AVILA,01/05/2023,Día Del Trabajo,national
AVILA,02/05/2023,San Segundo,local
AVILA,25/07/2023,Santiago Apostol,regional
AVILA,15/08/2023,Asunción de la Virgen,national
AVILA,12/10/2023,Fiesta Nacional Española,national
AVILA,15/10/2023,Santa Teresa de Jesús(se traslada al lunes),local
AVILA,01/11/2023,Día de Todos los Santos,national
AVILA,06/12/2023,Día de la Constitución Española,national
AVILA,08/12/2023,Inmaculada Concepción,national
AVILA,25/12/2023,Navidad,national
BADAJOZ,06/01/2023,Día de Reyes,national
BADAJOZ,21/02/2023,Martes de Carnaval,regional
BADAJOZ,19/03/2023,San José(se traslada al lunes),local
BADAJOZ,06/04/2023,Jueves Santo,regional
BADAJOZ,07/04/2023,Viernes Santo,national
BADAJOZ,01/05/2023,Día Del Trabajo,national
